title,category,sub category
දේශගුණික ප්‍රතිපත්තිය පිළිබඳ මහජන උපදේශනය රජය විසින් දියත් කරයි,Politics & Governance,Domestic Politics
වෛරී කතා මැඩපැවැත්වීමට නව පනත් කෙටුම්පත උත්සාහ කරයි සමාජ මාධ්‍ය වේදිකා,Politics & Governance,Domestic Politics
ජාතික විෂයමාලා සංශෝධන සම්බන්ධයෙන් අධ්‍යාපන අමාත්‍යාංශය විමර්ශනයට ලක් වේ,Politics & Governance,Domestic Politics
පුරවැසියන් සහ මන්ත්‍රීවරුන් සහභාගී වන ප්‍රථම නගර ශාලාව කොළඹ දී පැවැත්වේ,Politics & Governance,Domestic Politics
පාර්ලිමේන්තු සැසිවාර අතරතුර නොහික්මුණු හැසිරීම් නතර කරන ලෙස කථානායකවරයා ඉල්ලා සිටී,Politics & Governance,Domestic Politics
ඉදිරි මැතිවරණවලට පෙර පිහිටුවන ලද නව දේශපාලන සන්ධානය,Politics & Governance,Domestic Politics
පළාත් පාලන කාර්යාලවල මූල්‍ය අක්‍රමිකතා විගණනයෙන් හෙළි වේ,Politics & Governance,Domestic Politics
රාජ්‍ය අංශයේ වැටුප් සංශෝධනය මිශ්‍ර ප්‍රතිචාර ඇති කරයි,Politics & Governance,Domestic Politics
විශ්‍රාම වැටුප් අරමුදල් භාවිතයේ විනිවිදභාවය සඳහා වෘත්තීය සමිති නායකයින් ඉල්ලා සිටී,Politics & Governance,Domestic Politics
ආපදා සහන ගෙවීම් ප්‍රමාද වීම සම්බන්ධයෙන් රජය විවේචනයට ලක්ව ඇත,Politics & Governance,Domestic Politics
පළාත් වල රාජ්‍ය නොවන සංවිධාන ක්‍රියාකාරකම් පිළිබඳව දැඩි අධීක්ෂණයක් සිදු කරන බවට අමාත්‍යවරයා ප්‍රතිඥා දෙයි,Politics & Governance,Domestic Politics
ශ්‍රී ලංකා පොදුජන පෙරමුණ මැතිවරණයට පෙර ප්‍රධාන කැබිනට් සංශෝධනයක් නිවේදනය කරයි,Politics & Governance,Domestic Politics
කොළඹ මහ නගර සභාව නව අපද්‍රව්‍ය කළමනාකරණ නීති සම්පාදනයක් යෝජනා කරයි,Politics & Governance,Domestic Politics
ජීවන වියදම ඉහළ යාම පිළිබඳව විපක්ෂ නායක පාර්ලිමේන්තු විවාදයක් ඉල්ලා සිටී,Politics & Governance,Domestic Politics
"පළාත් සභාවලට පෙර ""තරුණ රැකියා සහතික කිරීමේ"" ප්‍රතිපත්තිය ජනතා විමුක්ති පෙරමුණ එළිදක්වයි",Politics & Governance,Domestic Politics
සන්ධාන ආතතීන් මධ්‍යයේ ගාලු දිස්ත්‍රික් අතුරු මැතිවරණය පැවැත්වීමට නියමිතය,Politics & Governance,Domestic Politics
පළාත් සභාවලට සෞඛ්‍ය සේවා විමධ්‍යගත කිරීමේ පනත් කෙටුම්පතට ජනාධිපතිවරයා අත්සන් තබයි,Politics & Governance,Domestic Politics
බලය බෙදා ගැනීමේ ගිවිසුම සම්බන්ධයෙන් දෙමළ ජාතික සන්ධානය බෙදී යයි,Politics & Governance,Domestic Politics
මහනුවර වැසියන් ප්‍රමාද වූ මාර්ග සංවර්ධන ව්‍යාපෘතිවලට විරෝධය පළ කරයි,Politics & Governance,Domestic Politics
ශ්‍රී ලංකාවේ දූෂණ විරෝධී කාර්යාංශය අල්ලස් සම්බන්ධයෙන් මන්ත්‍රීවරුන් 12 දෙනෙකු විමර්ශනය කරයි,Politics & Governance,Domestic Politics
නව කෘෂිකර්ම සහනාධාරය පාර්ලිමේන්තුවේ විවාදයට තුඩු දෙයි,Politics & Governance,Domestic Politics
ඉදිරි පළාත් පාලන මැතිවරණ සඳහා එක්සත් ජාතික පක්ෂය-ඉටැක් සන්ධානය ආකෘති පත්‍ර,Politics & Governance,Domestic Politics
බදු ප්‍රතිසංස්කරණ සම්බන්ධයෙන් මුදල් අමාත්‍යවරයා විශ්වාසභංග යෝජනාවකට මුහුණ දෙයි,Politics & Governance,Domestic Politics
යාපනය පළාත් පාලන සභාව දෙමළ භාෂා අධ්‍යාපනය පුළුල් කිරීම අනුමත කරයි,Politics & Governance,Domestic Politics
මධ්‍යම රාත්‍රියේ ඡන්දයෙන් පසු මතභේදාත්මක සයිබර් ආරක්ෂණ පනත් කෙටුම්පත සම්මත වේ,Politics & Governance,Domestic Politics
ඉඩම් අත්පත් කර ගැනීමට එරෙහි අනුරාධපුර ගොවි රැලිය ප්‍රතිපත්තිය,Politics & Governance,Domestic Politics
හිටපු ජනාධිපතිවරයාගේ පුත්‍රයා ශ්‍රී ලංකා පොදුජන පෙරමුණේ මහලේකම් ධුරයට තේරී පත් විය,Politics & Governance,Domestic Politics
කොළඹ මහාධිකරණය ඉහළ පෙළේ දූෂණ නඩු 40 ක් කඩිනමින් නිරීක්‍ෂණය කරයි,Politics & Governance,Domestic Politics
ජාතික ප්‍රතිපත්ති සංවාදය: පුනර්ජනනීය බලශක්ති සංක්‍රාන්තිය පිළිබඳ විශේෂඥයින් ගැටේ,Politics & Governance,Domestic Politics
රත්නපුර මැණික් වෙළෙන්දෝ නව අපනයන රෙගුලාසි සම්බන්ධයෙන් වැඩ වර්ජනය කරති,Politics & Governance,Domestic Politics
මැතිවරණ කොමිසම වෛරී ප්‍රකාශ සම්බන්ධයෙන් පක්ෂවලට අනතුරු අඟවයි,Politics & Governance,Domestic Politics
ආණ්ඩුක්‍රම ව්‍යවස්ථා සංශෝධනය කෙටුම්පත මඟින් විධායක ජනාධිපති ධුරය අහෝසි කිරීමට යෝජනා කරයි,Politics & Governance,Domestic Politics
විශ්‍රාම වැටුප් ප්‍රතිසංස්කරණ සම්බන්ධයෙන් වෘත්තීය සමිති රට පුරා වැඩ වර්ජනයකට තර්ජනය කරයි,Politics & Governance,Domestic Politics
මඩකලපුව ධීවරයින් නාවික කලාප සීමා කිරීම් සඳහා වන්දි ඉල්ලා සිටී,Politics & Governance,Domestic Politics
කුරුඳු කර්මාන්ත ලොබිකරුවන් යෝජිත අපනයන බද්ද අවහිර කරයි,Politics & Governance,Domestic Politics
මානව හිමිකම් ගැටළු මධ්‍යයේ පොලිස් ප්‍රතිසංස්කරණ පනත් කෙටුම්පත අත්හිටුවන ලදී,Politics & Governance,Domestic Politics
ඡන්ද මිලදී ගැනීමේ අපකීර්තියෙන් පසු මාතර මන්ත්‍රීවරයා ඉල්ලා අස්වෙයි,Politics & Governance,Domestic Politics
රාජ්‍යයට අයත් ව්‍යවසායන් පෞද්ගලීකරණ සැලැස්ම නීතිමය අභියෝගයකට මුහුණ දෙයි,Politics & Governance,Domestic Politics
මහනුවර කැසිනෝ බලපත්‍ර ලබා දීමට එරෙහිව බෞද්ධ භික්ෂූන් වහන්සේලා විරෝධතාවයට නායකත්වය දෙති,Politics & Governance,Domestic Politics
මධ්‍යම පළාත් ආණ්ඩුකාර දෝෂාභියෝග ක්‍රියාදාමයන් ආරම්භ වේ,Politics & Governance,Domestic Politics
පාරිසරික සමාලෝචන මඟ හැරීම සම්බන්ධයෙන් කොළඹ වරාය නගර අධිකාරියට චෝදනා,Politics & Governance,Domestic Politics
උතුරේ ඡන්දදායක ලැයිස්තුව විකෘති කිරීම සම්බන්ධයෙන් විපක්ෂය චෝදනා කරයි පළාත,Politics & Governance,Domestic Politics
නව වනජීවී ආරක්ෂණ නීතිය පතල් සමාගම් සමඟ ගැටුමකට තුඩු දෙයි,Politics & Governance,Domestic Politics
"ජනාධිපති කාර්ය සාධක බලකාය ""ඩිජිටල් පාලනය"" මාර්ග සිතියම දියත් කරයි",Politics & Governance,Domestic Politics
පළාත් පාලන මැතිවරණවලදී පක්ෂග්‍රාහී ආවරණයක් සම්බන්ධයෙන් චෝදනා එල්ල වන රාජ්‍ය මාධ්‍ය,Politics & Governance,Domestic Politics
ත්‍රිකුණාමලයේ මතභේදාත්මක ප්‍රතිමා ඉවත් කිරීම ජනවාර්ගික ආතතීන් ඇති කරයි,Politics & Governance,Domestic Politics
ඉන්ධන සහනාධාර කප්පාදුව පාර්ලිමේන්තු වැඩවර්ජනයට හේතු වේ,Politics & Governance,Domestic Politics
තේ වතු කම්කරු සංගමය ඓතිහාසික වැටුප් වැඩිවීමක් සාකච්ඡා කරයි,Politics & Governance,Domestic Politics
ගංවතුර අසාර්ථක වීමෙන් පසු ආපදා කළමනාකරණ ප්‍රතිපත්ති ප්‍රතිසංස්කරණය,Politics & Governance,Domestic Politics
මාධ්‍යවේදියාට එරෙහි අපහාස නඩුව කොළඹ අධිකරණය ප්‍රතික්ෂේප කරයි,Politics & Governance,Domestic Politics
ජාතික අධ්‍යාපන ප්‍රතිපත්ති කෙටුම්පත මද්‍රසා ප්‍රතිසංස්කරණ බැහැර කරයි,Politics & Governance,Domestic Politics
ට්‍රෝලර් බලපත්‍ර අපකීර්තිය සම්බන්ධයෙන් ධීවර අමාත්‍යවරයා ඉල්ලා අස්වෙයි,Politics & Governance,Domestic Politics
ගම්පහ දිස්ත්‍රික් සභාව ඉහළ මට්ටමේ ඉදිකිරීම් තහනමක් අනුමත කරයි,Politics & Governance,Domestic Politics
දේශපාලන සිරකරුවන්ට ජනාධිපති සමාව දීම කෝපයට හේතු වේ,Politics & Governance,Domestic Politics
සීනි ආනයන අපකීර්තිය: කමිටුව හිටපු අමාත්‍යවරුන් 5 දෙනෙකු කැඳවයි,Politics & Governance,Domestic Politics
විපක්ෂ වර්ජනය මධ්‍යයේ තාක්ෂණික ආරම්භකයින් සඳහා නව බදු සහන සම්මත විය,Politics & Governance,Domestic Politics
බෞද්ධ පූජක මණ්ඩලය ලෞකික විෂයමාලා ප්‍රතිසංස්කරණ ප්‍රතික්ෂේප කරයි,Politics & Governance,Domestic Politics
පොහොර සම්බන්ධයෙන් හම්බන්තොට ගොවීන් අධිවේගී මාර්ගය අවහිර කරයි හිඟයන්,Politics & Governance,Domestic Politics
නාගරික සංවර්ධන අරමුදලේ ඩොලර් මිලියන 20 ක අවභාවිතයක් විගණන වාර්තාවෙන් හෙළි වේ,Politics & Governance,Domestic Politics
ස්ත්‍රී පුරුෂ භාවය පිළිබඳ උදාසීන විකල්ප සඳහා ජාතික හැඳුනුම්පත් ප්‍රතිපත්තිය සංශෝධනය කරන ලදී,Politics & Governance,Domestic Politics
පෙර මැතිවරණ ප්‍රචණ්ඩත්වය සම්බන්ධයෙන් වවුනියාවේ 15 දෙනෙකු පොලිසිය අත්අඩංගුවට ගත්තේය,Politics & Governance,Domestic Politics
රාජ්‍ය බැංකු ණය සහන යෝජනා ක්‍රමය කුඩා ව්‍යාපාර බැහැර කරයි,Politics & Governance,Domestic Politics
යාපනය විශ්ව විද්‍යාල සිසුන් විශ්ව විද්‍යාල භූමියේ හමුදා පැවැත්මට විරෝධය පළ කරයි,Politics & Governance,Domestic Politics
වනජීවී අමාත්‍යවරයා වාණිජ මුවන් වගා කිරීම තහනම් කරයි,Politics & Governance,Domestic Politics
පවුල් ඉඩම් ගනුදෙනු සඳහා ආචාර ධර්ම පරීක්ෂණයකට මුහුණ දෙන කොළඹ නගරාධිපතිවරයා,Politics & Governance,Domestic Politics
"ත්‍රස්ත විරෝධී පනත් කෙටුම්පත ""මර්දනය සඳහා මෙවලමක්"" ලෙස විවේචනය කෙරේ",Politics & Governance,Domestic Politics
තේ අපනයනකරුවන් වෙළඳ සාකච්ඡා සඳහා නියෝජනයක් ඉල්ලා සිටී,Politics & Governance,Domestic Politics
වී අලෙවිකරණ මණ්ඩලය තොග රැස් කිරීම සම්බන්ධයෙන් චෝදනා එල්ල වී ඇත,Politics & Governance,Domestic Politics
ඥාති සංග්‍රහ චෝදනා හේතුවෙන් ජනාධිපති උපදේශක ඉල්ලා අස්වෙයි,Politics & Governance,Domestic Politics
ඉඩම් ආරවුල් හේතුවෙන් දක්ෂිණ අධිවේගී මාර්ග පුළුල් කිරීම ප්‍රමාද විය,Politics & Governance,Domestic Politics
නව නීතියෙන් පළාත් පාලන මැතිවරණයේදී 30% ක කාන්තා අපේක්ෂකයින්ට අවසර ලැබේ,Politics & Governance,Domestic Politics
ආර්ථික අවපාත බිය මධ්‍යයේ ජනාධිපතිවරයා ජාතික ආර්ථික සභාව පිහිටුවයි,Politics & Governance,Domestic Politics
දේශපාලන සිරකරුවන් වහාම නිදහස් කරන ලෙස දෙමළ ජාතික සන්ධානය ඉල්ලා සිටී,Politics & Governance,Domestic Politics
පූජනීය නගර සංවර්ධන සැලැස්ම උරුම සංරක්ෂණ විවාදයට තුඩු දෙයි,Politics & Governance,Domestic Politics
වෙරළබඩ ඛාදනය ප්‍රතිපත්තිය සංචාරක-පාරිසරික ගැටුම අවුලුවයි,Politics & Governance,Domestic Politics
සිවිල් සමාජයේ විරෝධතා නොතකා 19 වන සංශෝධන පනත් කෙටුම්පත අවලංගු කිරීමේ පනත් කෙටුම්පත සභාගත කෙරේ,Politics & Governance,Domestic Politics
හම්බන්තොට වැටුප් විෂමතා සම්බන්ධයෙන් චීන SEZ කම්කරු වැඩවර්ජන,Politics & Governance,Domestic Politics
"මහ බැංකුව ""LakCoin"" ඩිජිටල් මුදල් නියමු දියත් කරයි",Politics & Governance,Domestic Politics
පුරාවිද්‍යාඥයින් පුරාණ නටබුන් සොයා ගැනීම සම්බන්ධයෙන් අධිවේගී මාර්ග ව්‍යාපෘතිය නතර කරයි,Politics & Governance,Domestic Politics
ඉන්ධන මිල නියාමනය ඉවත් කිරීමට එරෙහිව රට පුරා ප්‍රවාහන වැඩ වර්ජනයක්,Politics & Governance,Domestic Politics
නුවරඑළිය දිස්ත්‍රික්කයේ තැපැල් ඡන්ද අපකීර්තියක් ඇති වේ,Politics & Governance,Domestic Politics
අයිතිවාසිකම් නඩුවේදී ජලය පුද්ගලීකරණය කිරීමට එරෙහිව ශ්‍රේෂ්ඨාධිකරණ නියෝග,Politics & Governance,Domestic Politics
සිංහල ජනාවාස සඳහා ඉඩම් වෙන් කිරීම මුස්ලිම් කවුන්සිලය ප්‍රතික්ෂේප කරයි,Politics & Governance,Domestic Politics
රාජ්‍යයට අයත් ඛනිජ තෙල් සංස්ථාවේ ඩොලර් මිලියන 45 ක පාඩුවක් විගණනය හෙළි කරයි,Politics & Governance,Domestic Politics
"මතභේදාත්මක ""එක් ජාතියක්, එක් විෂයමාලා"" සැලැස්ම අත්හිටුවා ඇත",Politics & Governance,Domestic Politics
කොළඹ පාතාල-දේශපාලන නෙක්සස් පිළිබඳ විශේෂ පොලිස් ඒකකයේ විමර්ශන,Politics & Governance,Domestic Politics
රාජ්‍ය තේ වතු පුද්ගලීකරණයට මුහුණ දෙයි කම්කරු විරෝධතා,Politics & Governance,Domestic Politics
ජාතික වෛද්‍ය හිඟයට ආනයන සීමා කිරීම් දොස් පවරයි,Politics & Governance,Domestic Politics
පළාත් ආණ්ඩුකාරවරුන් සෘජුවම තෝරා පත් කර ගැනීම සඳහා පනත් කෙටුම්පතක් යෝජනා කරයි,Politics & Governance,Domestic Politics
ප්‍රභූ අල්ලා ගැනීමේ චෝදනාවලින් පසු සූර්ය සහනාධාර කපා හැරීම,Politics & Governance,Domestic Politics
එයාර් බස් ගනුදෙනුවේ හිටපු අමාත්‍යවරයාට අල්ලස් කොමිසම චෝදනා කරයි,Politics & Governance,Domestic Politics
භෝග අසාර්ථකත්වයන් මධ්‍යයේ කාබනික ගොවිතැන සඳහා ලබා දුන් අවසාන දිනය දීර්ඝ කෙරේ,Politics & Governance,Domestic Politics
පොලිස් කෲරත්වයට එරෙහිව තීන්දුවක් ලබා දීමෙන් පසු මහේස්ත්‍රාත්වරයා මාරු කෙරේ,Politics & Governance,Domestic Politics
වාර්තාකරුවන්ට පහරදීමෙන් පසු මාධ්‍යවේදීන්ගේ ආරක්ෂක නීතිය කෙටුම්පත් කෙරේ,Politics & Governance,Domestic Politics
"බෞද්ධ භික්ෂූන් වහන්සේලා පාසල්වල යෝගා ""විදේශීය බලපෑම"" ලෙස විරෝධතා දක්වයි",Politics & Governance,Domestic Politics
වෙරළබඩ තොග ආරක්ෂා කිරීම සඳහා බහුදින ට්‍රෝලර් යාත්‍රා තහනම දීර්ඝ කෙරේ,Politics & Governance,Domestic Politics
රාජ්‍යය ඌන උපයෝගිතා වතු ඉඩම් නැවත බෙදා හැරීම ආරම්භ කරයි,Politics & Governance,Domestic Politics
සමාජ මාධ්‍ය නියාමන පනත් කෙටුම්පත නිදහස් කථන ගැටළු ඇති කරයි,Politics & Governance,Domestic Politics
මාස 6 ක වැටුප් සහිත පීතෘ නිවාඩු කැබිනට් මණ්ඩලය අනුමත කරයි,Politics & Governance,Domestic Politics
මෝසම් සමාලෝචනයේදී අනාවරණය වූ පූර්ව අනතුරු ඇඟවීමේ පද්ධති අසාර්ථකත්වයන්,Politics & Governance,Domestic Politics
පොදු ප්‍රවාහනයට අරමුදල් සැපයීම සඳහා සුඛෝපභෝගී වාහන බද්ද තුන් ගුණයකින් වැඩි කෙරේ,Politics & Governance,Domestic Politics
පළාත් සභාවලින් 30% කින් ස්වාධීන අපේක්ෂකයින්ට තහනම් කෙරේ,Politics & Governance,Domestic Politics
යුනෙස්කෝවෙන් පසු සිගිරිය නරඹන්නන්ගේ සීමාව පැනවේ අනතුරු ඇඟවීම,Politics & Governance,Domestic Politics
විපක්ෂ වාරණය සම්බන්ධයෙන් රාජ්‍ය මාධ්‍ය කතුවරුන් ඉල්ලා අස්වෙයි,Politics & Governance,Domestic Politics
පාරිසරික උල්ලංඝනයන් සඳහා කුඩා ජල ව්‍යාපෘති නතර කර ඇත,Politics & Governance,Domestic Politics
ඇඟලුම් සේවකයින් FTZ කර්මාන්තශාලාවල සමාන වැටුප් ඉල්ලා සිටී,Politics & Governance,Domestic Politics
"කොළඹ ""හරිත නගර"" මුලපිරීම ජනාවාස ස්ථානගත කිරීමේ අර්බුදයකට මුහුණ දෙයි",Politics & Governance,Domestic Politics
දිවි සංරක්ෂණ ගැටුම් ගම් පුළුල් කිරීමේ සැලසුම් සමඟ,Politics & Governance,Domestic Politics
ප්‍රමාද වූ අධිකරණ පත්වීම් සම්බන්ධයෙන් නීතිඥයින් අධිකරණ වර්ජනය කරයි,Politics & Governance,Domestic Politics
විශ්ව විද්‍යාල ප්‍රවේශ කෝටා ක්‍රමය අධිකරණයේදී අභියෝගයට ලක් කෙරේ,Politics & Governance,Domestic Politics
උතුරේ හමුදා යෙදවීම 40% කින් අඩු කර ඇත,Politics & Governance,Domestic Politics
ජාතික රක්ෂණ යෝජනා ක්‍රමය පළමු වරට මානසික සෞඛ්‍යය ආවරණය කරයි,Politics & Governance,Domestic Politics
ඉන්දියානු-කළමනාකරණය කරන ලද මාර්ග නවීකරණය සම්බන්ධයෙන් දුම්රිය වෘත්තීය සමිති වැඩ වර්ජනය කරයි,Politics & Governance,Domestic Politics
"නිවාස 10,000 ව්‍යාපෘතිය සිමෙන්ති කාටෙල් විසින් ප්‍රමාද කරන ලදී",Politics & Governance,Domestic Politics
ක්‍රිප්ටෝ මුදල් හිමිකාරීත්වය ප්‍රකාශ කිරීමට පාර්ලිමේන්තු මන්ත්‍රීවරුන් අවශ්‍ය වේ,Politics & Governance,Domestic Politics
ගොවි සියදිවි නසාගැනීම් වලින් පසු පොල් බද්ද අවලංගු කර ඇත,Politics & Governance,Domestic Politics
විගණනයකින් තොරව ක්‍රියාත්මක වන රාජ්‍ය ආයතන 12 ක් කෝප් විසින් හෙළි කරයි,Politics & Governance,Domestic Politics
කොළඹ මහ නගර සභාව තනි භාවිත ප්ලාස්ටික් තහනම් කරයි,Politics & Governance,Domestic Politics
මන්නාරමේ සමූහ මිනීවළ කැණීම නතර කර ඇත අරමුදල් සැපයීම,Politics & Governance,Domestic Politics
ශ්‍රී ලංකාව 2025 වෙත පිවිසෙන්න ව්‍යාපාරය යුද්ධයෙන් බලපෑමට ලක් වූ ප්‍රදේශ අත්හැර දමයි,Politics & Governance,Domestic Politics
නව රහස් හෙළි කරන්නා ඒජන්සිය පාර්ලිමේන්තුවට සෘජුවම වාර්තා කරයි,Politics & Governance,Domestic Politics
දූෂණ විරෝධී අධිකරණය ඉහළ පැතිකඩ නඩු 50 ක් කඩිනම් කරයි,Politics & Governance,Domestic Politics
මතභේදාත්මක ආගමික පරිවර්තන පනත් කෙටුම්පත ඉල්ලා අස්කර ගනී,Politics & Governance,Domestic Politics
ශිෂ්‍ය විරෝධතා මධ්‍යයේ රාජ්‍ය විශ්ව විද්‍යාල අයවැය කප්පාදුවකට මුහුණ දෙයි,Politics & Governance,Domestic Politics
නව ඉඩම් හිමිකම් ක්‍රමය නැගෙනහිර පළාතේ ව්‍යාකූලත්වයට හේතු වේ,Politics & Governance,Domestic Politics
නීති විරෝධී ට්‍රෝලින් නොසලකා හැරීම සම්බන්ධයෙන් ධීවර දෙපාර්තමේන්තුවට චෝදනා,Politics & Governance,Domestic Politics
AI ආචාර ධර්ම පිළිබඳ ජනාධිපති කාර්ය සාධක බලකාය විවේචනයට ලක් වේ,Politics & Governance,Domestic Politics
නිවාස දීමනා ප්‍රමාදයන් සම්බන්ධයෙන් වතු සේවකයින් වැඩ වර්ජනය කරයි,Politics & Governance,Domestic Politics
ජාතික පුස්තකාල ලේඛනාගාර ඩිජිටල්කරණ ව්‍යාපෘතිය ඇණහිට ඇත,Politics & Governance,Domestic Politics
භාරකාර මරණයෙන් පසු පොලිස් ශරීර කැමරා අනිවාර්ය වේ,Politics & Governance,Domestic Politics
විදේශීය පුරවැසියන් සඳහා දුරස්ථ ඡන්දය ප්‍රකාශ කිරීම පාර්ලිමේන්තුව අනුමත කරයි,Politics & Governance,Domestic Politics
ආහාර සුරක්ෂිතතා අර්බුදය විසඳීම සඳහා ජනාධිපති කාර්ය සාධක බලකායක් ස්ථාපිත කෙරේ,Politics & Governance,Domestic Politics
නව ත්‍රස්ත විරෝධී නීති සම්පාදනයට එරෙහිව විපක්ෂය SC පෙත්සමක් ගොනු කරයි,Politics & Governance,Domestic Politics
දේශපාලන නොසන්සුන්තාව මධ්‍යයේ රට පුරා ඇඳිරි නීතිය පනවා ඇත,Politics & Governance,Domestic Politics
රාජ්‍ය බැංකු මිත්‍ර පාක්ෂිකයින්ට ඩොලර් මිලියන 300 ක බොල් ණය කපා හැරීම,Politics & Governance,Domestic Politics
කොළඹ වරාය නගර බදු නිදහස් කිරීම් මහජන විරෝධයට හේතු වේ,Politics & Governance,Domestic Politics
ඉස්ලාමීය බැංකුකරණය ඇතුළත් කිරීමට බෞද්ධ භික්ෂූන් විරෝධතා දක්වයි,Politics & Governance,Domestic Politics
ආරක්ෂක ගැටළු උපුටා දක්වමින් පළාත් පාලන මැතිවරණය දින නියමයක් නොමැතිව කල් දමන ලදී,Politics & Governance,Domestic Politics
මාර්ග සංවර්ධන අධිකාරියේ ඩොලර් මිලියන 50 ක වංචාවක් විගණනයෙන් හෙළි වේ,Politics & Governance,Domestic Politics
ආයතනික ඉඩම් අත්පත් කර ගැනීමට එරෙහිව කුඩා තේ වතු හිමියන්ගේ රැලිය,Politics & Governance,Domestic Politics
පාර්ලිමේන්තුව මතභේදාත්මක දත්ත ප්‍රාදේශීයකරණ නීතිය සම්මත කරයි,Politics & Governance,Domestic Politics
මැතිවරණ ප්‍රතිසංස්කරණ ඉල්ලා JVP උපවාසයක් පවත්වයි,Politics & Governance,Domestic Politics
ඖෂධ මිල ඉහළ දැමූ බවට චෝදනා එල්ල වන රාජ්‍ය ඖෂධ සංස්ථාව,Politics & Governance,Domestic Politics
පූජනීය බෝධි වෘක්ෂයට හානි කිරීම ආගමික ආතතීන් ඇති කරයි,Politics & Governance,Domestic Politics
ඉන්ධන සහනාධාර කප්පාදු කිරීම සම්බන්ධයෙන් ධීවරයින් කොළඹ වරාය අවහිර කරයි,Politics & Governance,Domestic Politics
සියලුම සුභසාධන ප්‍රතිලාභ සඳහා ඩිජිටල් හැඳුනුම්පත් ක්‍රමය අනිවාර්ය වේ,Politics & Governance,Domestic Politics
උතුරු පළාතේ ආණ්ඩුකාරවරයා ලෙස හිටපු හමුදා ප්‍රධානියා පත් කෙරේ,Politics & Governance,Domestic Politics
ජාතික ලොතරැයි පෞද්ගලීකරණ පනත් කෙටුම්පත නීතිමය අභියෝගයකට මුහුණ දෙයි,Politics & Governance,Domestic Politics
පර්යේෂණ අරමුදල් කප්පාදුව සම්බන්ධයෙන් විශ්ව විද්‍යාල කථිකාචාර්යවරු වර්ජනය කරති,Politics & Governance,Domestic Politics
රට පුරා මත්ද්‍රව්‍ය විරෝධී මෙහෙයුමේදී පොලිසිය 200 දෙනෙකු අත්අඩංගුවට ගනී,Politics & Governance,Domestic Politics
කාබනික පොහොර වංචාව: කෘෂිකර්ම නිලධාරීන් 5 දෙනෙකුගේ වැඩ තහනම් කර ඇත,Politics & Governance,Domestic Politics
කොළඹ අධිවේගී ඉදිකිරීම් කැටි කිරීම දීර්ඝ කර ඇත,Politics & Governance,Domestic Politics
දෙමළ දේශපාලන සිරකරුවන් කුසගින්න ආරම්භ කරයි,Politics & Governance,Domestic Politics
ගංවතුර ප්‍රතිචාරය සම්බන්ධයෙන් ආපදා කළමනාකරණ අමාත්‍යවරයා ඉල්ලා අස්වෙයි,Politics & Governance,Domestic Politics
හරිත කොළඹ ව්‍යාපෘතිය නාගරික දුප්පත් ජනාවාස බුල්ඩෝසර් කරයි,Politics & Governance,Domestic Politics
