token,tag
බවත්,O
සඳහන්,O
කළේ,O
ය,O
.,O
වසර,O
17ක්,O
ටෙස්ට්,O
ක්‍රිකට්,B-ORG
ක්‍රීඩාවේ,O
නිරත,O
වීමට,O
ලැබීම,O
තමන්,O
ලැබූ,O
ඉහළම,O
ගෞරවය,O
සහ,O
ආඩම්බරයට,O
හේතුව,O
බව,O
ඇන්ජලෝ,B-PER
මැතිව්ස්ගේ,O
ෆේස්බුක්,O
සටහනේ,O
සඳහන්,O
වූ,O
අතර,O
",",O
ජාතික,O
කණ්ඩායමේ,O
ජර්සිය,O
පැළඳ,O
සිටින,O
විට,O
ඇතිවන,O
අභිමානයට,O
සම,O
කළ,O
හැකි,O
දෙයක්,O
නොමැති,O
බව,O
ද,O
සඳහන්,O
වූය,O
.,O
ශ්‍රී,B-LOC
ලංකාවේ,I-LOC
කුසල්,O
මෙන්ඩිස්,O
මෙවර,O
IPL,B-EVENT
පන්දුවාර,O
20යි,B-EVENT
20,I-EVENT
ක්‍රිකට්,B-ORG
තරගාවලියේ,O
ඉතිරි,O
තරග,B-EVENT
සඳහා,O
ගුජරාට්,O
ටයිටන්ස්,O
කණ්ඩායමට,O
කැඳවා,O
තිබේ,O
.,O
ඒ,O
",",O
එංගලන්ත,O
ක්‍රිකට්,B-ORG
ක්‍රීඩක,O
ජොස්,B-PER
බට්ලර්,I-PER
වෙනුවටයි,O
.,O
බට්ලර්,B-PER
",",O
බටහිර,B-ORG
ඉන්දීය,I-ORG
කොදෙව්,I-ORG
කණ්ඩායම,I-ORG
සමග,O
පැවැත්වීමට,O
නියමිත,O
එක්දින,B-EVENT
තරගාවලිය,I-EVENT
සඳහා,O
එංගලන්ත,O
සංචිතයට,O
නම්,O
කර,O
තිබීම,O
හේතුවෙන්,O
ඔහු,O
ඉතිරි,O
තරග,B-EVENT
සඳහා,O
ක්‍රීඩා,O
නොකරන,O
බව,O
විදෙස්,O
මාධ්‍ය,O
වාර්තා,O
කර,O
තිබේ,O
.,O
කුසල්,O
මෙන්ඩිස්,O
ආදේශ,O
ක්‍රීඩකයෙකු,O
ලෙස,O
ගුජරාට්,O
කණ්ඩායම,B-ORG
සමග,O
හෙට,O
(,O
15,O
),O
එක්වීමට,O
නියමිතයි,O
.,O
තරගාවලියේ,O
දිල්ලි,O
කැපිටල්ස්,O
කණ්ඩායම,B-ORG
සහ,O
ගුජරාට්,O
ටයිටන්ස්,O
කණ්ඩායම,B-ORG
අතර,O
තරගය,O
අනිද්දා,O
පැවැත්වේ,O
.,O
ඉන්දියාව,O
සහ,O
පාකිස්ථානය,O
අතර,O
උද්ගතව,O
තිබූ,O
දේශපාලන,O
ගැටළු,O
හේතුවෙන්,O
තරගාවලිය,B-EVENT
තාවකාලිකව,O
නතර,O
කිරීමට,O
සිදු,O
විය,O
.,O
ශ්‍රී,B-LOC
ලංකා,B-ORG
කාන්තා,B-EVENT
එක්දින,I-EVENT
ජාත්‍යන්තර,O
ක්‍රිකට්,B-ORG
ශ්‍රේණිගත,O
කිරීම්හි,O
7,O
වැනි,O
ස්ථානයට,O
චමරි,B-PER
අතපත්තු,I-PER
ඉදිරියට,O
පැමිණ,O
තිබේ,O
.,O
එක්දින,B-EVENT
ජාත්‍යන්තර,O
ක්‍රිකට්,B-ORG
තරග,B-EVENT
115කදී,O
ශ්‍රී,B-LOC
ලංකාව,O
නියෝජනය,O
කරමින්,O
චමරි,B-PER
ලකුණු,O
3877ක්,O
රැස්,O
කර,O
තිබේ,O
.,O
2025,B-EVENT
ඉන්දීය,B-ORG
ප්‍රිමියර්,B-EVENT
ලීග්,I-EVENT
පන්දුවාර,O
20යි,B-EVENT
20,I-EVENT
ක්‍රිකට්,B-ORG
තරගාවලිය,B-EVENT
මැයි,O
17,O
යළි,O
ආරම්භ,O
කිරීමට,O
තීරණය,O
කර,O
තිබේ,O
.,O
ඒ,O
අනුව,O
බැංගලෝර්,B-LOC
",",O
ජායිපූර්,O
",",O
දිල්ලි,O
",",O
ලක්නව්,O
",",O
මුම්බායි,O
සහ,O
අහමදාබාද්,O
යන,O
ස්ථාන,O
හයකදී,O
පමණක්,O
තරග,B-EVENT
පැවැත්වේ,O
.,O
පළමු,B-EVENT
සුදුසුකම්,O
තරගය,O
මේ,O
මස,O
29,O
පැවැත්වීමට,O
නියමිත,O
අතර,O
",",O
එළවෙන,O
කණ්ඩායම,B-ORG
තීරණය,O
කරන,O
තරගය,O
30,O
දින,O
පැවැත්වේ,O
.,O
දෙවැනි,O
සුදුසුකම්,O
තරගය,O
ජුනි,O
1ට,O
",",O
අවසන්,O
මහා,O
තරගය,O
ජුනි,O
3ට,O
ලෙස,O
නියමිතය,O
.,O
ඉන්දියාව,O
සහ,O
පාකිස්ථානය,O
අතර,O
උද්ගත,O
වූ,O
යුධමය,O
වාතාවරණය,O
හේතුවෙන්,O
තරගාවලිය,B-EVENT
සතියකක්,O
කල්,O
දැමීමට,O
අවශ්‍ය,O
විය,O
.,O
සත්කාරක,O
ශ්‍රී,B-LOC
ලංකා,B-ORG
",",O
ඉන්දියා,O
සහ,O
දකුණු,O
අප්‍රිකා,O
තුන්,O
කොන්,O
කාන්තා,B-EVENT
එක්,O
දින,O
ක්‍රිකට්,B-ORG
තරගාවලියේ,O
අවසන්,O
තරගය,O
අද,O
(,O
11,O
),O
කොළඹ,B-LOC
ආර්,O
.,O
ප්‍රේමදාස,B-LOC
ජාත්‍යන්තර,O
ක්‍රීඩාංගනයේ,O
පැවැත්වේ,O
.,O
ඩොනල්ඩ්,B-PER
ට්‍රම්ප්ගේ,O
බදු,B-EVENT
පනත,I-EVENT
ඇමෙරිකානු,O
කොංග්‍රසය,O
මගින්,O
සම්මත,O
කර,O
තිබේ,O
.,O
කැපිටල්,O
හිල්,O
හි,O
දීර්ඝ,O
සැසිවාරයකින්,O
පසු,O
ජුලි,O
4,O
දින,O
එම,O
පනත,B-EVENT
සම්මත,O
විය,O
.,O
පනත,B-EVENT
සඳහා,O
පක්ෂව,O
ඡන්ද,O
218ක්,O
ලැබුණු,O
අතර,O
",",O
විරුද්ධව,O
ඡන්ද,O
214ක්,O
ලැබුණි,O
.,O
ඩිමොක්‍රැටික්,O
පක්ෂයේ,O
සියලු,O
හා,O
රිපබ්ලිකන්,O
පක්ෂයේ,O
දෙදෙනෙකු,O
විරුද්ධව,O
සිටිති,O
.,O
පනතට,O
අත්සන්,O
කිරීම,O
හෙට,O
සඳහා,O
නියමිත,O
වේ,O
.,O
ශ්‍රී,B-LOC
ලංකාව,O
තුළ,O
Starlink,B-ORG
චන්ද්‍රිකා,O
සේවාව,O
මෙම,O
මස,O
සිට,O
ක්‍රියාත්මක,O
වේ,O
.,O
ශ්‍රී,B-LOC
ලංකා,B-ORG
විදුලි,I-ORG
සංදේශන,I-ORG
නියාමන,I-ORG
කොමිෂන්,I-ORG
සභාව,I-ORG
නිවේදනය,O
කළේය,O
.,O
රුපියල්,O
මිලියන,O
50,O
ඉක්මවූ,O
ණය,O
රැකගත්,O
ව්‍යාපාරිකයින්,O
සඳහා,O
සහන,O
කාලය,O
අද,O
මධ්‍යම,O
රාත්රිමෙන්,O
අවසන්,O
වේ,O
.,O
ශ්‍රී,B-LOC
ලංකා,B-ORG
මහ,I-ORG
බැංකුව,I-ORG
නිකුත්,O
කළේය,O
.,O
නිසි,O
තොරතුරු,O
නොමැති,O
ලුණු,O
පැකට්,O
සම්බන්ධයෙන්,O
පාරිභෝගික,B-ORG
කටයුතු,I-ORG
පිළිබඳ,O
අධිකාරිය,B-ORG
නීතිමය,O
පියවර,O
ගනියි,O
.,O
හිටපු,O
අමාත්‍ය,O
මර්වින්,B-PER
සිල්වා,I-PER
සහ,O
හිටපු,O
රාජ්‍ය,O
අමාත්‍ය,O
ප්‍රසන්න,B-PER
රණවීර,I-PER
26,O
දින,O
රක්ෂිත,O
බන්ධනාගාරගත,O
කිරීමට,O
නියෝග,O
කරයි,O
.,O
රණවිරු,B-ORG
සේවා,I-ORG
අධිකාරිය,I-ORG
සඳහා,O
වාහන,O
පිරිනැමීම,O
ජනාධිපති,B-ORG
කාර්යාලය,I-ORG
මඟින්,O
සංවිධානය,O
කරයි,O
.,O
සෞඛ්‍ය,B-ORG
අමාත්‍යාංශය,I-ORG
ඉදිරිපිට,O
විරෝධතාවල,O
නිරත,O
වූ,O
අන්තර්,B-ORG
විශ්වවිද්‍යාල,I-ORG
ශිෂ්‍ය,I-ORG
බල,I-ORG
මණ්ඩලයේ,O
කැඳවුම්කරු,O
මධුෂාන්,B-PER
චන්ද්‍රජිත්,I-PER
ඇතුළු,O
9,O
දෙනෙකු,O
අත්අඩංගුවට,O
ගනියි,O
.,O
සිරියානු,B-LOC
ගුවන්,I-LOC
සීමාව,I-LOC
යළි,O
විවෘත,O
වේ,O
.,O
ඊශ්‍රායල,O
හමුදාව,O
ටෙහෙරානය,B-LOC
අසල,O
රේඩාර්,B-EVENT
ස්ථාපනයක්,O
විනාශ,B-EVENT
කරයි,O
වන,O
අතර,O
නෙතන්යාහු,B-PER
පැවසීය,O
.,O
මැදපෙරදිග,O
ආතතීන්,O
වැඩි,O
වී,O
ඇති,O
අතර,O
මසූද්,B-PER
පෙෂෙෂ්කියන්,I-PER
සහ,O
අන්වර්,B-PER
ඊබ්‍රාහිම්,I-PER
දුරකථන,O
සංවාදයක,O
පීළිගැනීම,O
සිදු,O
කරයි,O
.,O
ඇබට්,B-PER
ටෙක්සාස්,O
හි,O
දේපල,O
හිමිකම,O
සීමා,O
කරන,O
පනත,B-EVENT
අත්සන්,O
කරයි,O
.,O
අජිත්,B-PER
දෝවාල්,I-PER
සහ,O
වැංග්,B-PER
යී,I-PER
අතර,O
හමුවක්,O
සිදු,O
කරයි,O
.,O
ඇහැලියගොඩ,B-LOC
නැදුරන,B-LOC
හංදියේ,I-LOC
රේල්,B-LOC
පාර,I-LOC
අසලදී,O
ඊයේ,O
(30),O
රාත්‍රියේ,O
පුද්ගලයින්,O
තිදෙනෙකුට,O
කඩුවකින්,O
පහරදීම,B-EVENT
හේතුවෙන්,O
බරපතල,O
තුවාල,O
ලබා,O
ඇහැලියගොඩ,B-ORG
රෝහලට,I-ORG
ඇතුලත්,O
කිරීමෙන්,O
පසු,O
තරුණයෙක්,O
මියගොස්,O
තිබේ,O
අනෙක්,O
තුවාලකරුවන්,O
දෙදෙනා,O
වැඩිදුර,O
ප්‍රතිකාර,O
සඳහා,O
රත්නපුර,B-ORG
රෝහලට,I-ORG
මාරුකර,O
යවා,O
ඇති,O
බව,O
පොලිසිය,B-ORG
පවසයි,O
මෙලෙස,O
මියගොස්,O
ඇත්තේ,O
වයස,O
අවුරුදු,O
22ක්,O
වූ,O
ඉද්දමල්ගොඩ,B-LOC
ගැටහැත්ත,B-LOC
ප්‍රදේශයේ,O
පදිංචිකරුවෙකි,O
සැකකරුවන්,O
අත්අඩංගුවට,O
ගැනීම,O
සඳහා,O
ඇහැලියගොඩ,B-ORG
පොලීසිය,I-ORG
වැඩිදුර,O
විර්මශන,O
සිදු,O
කරනු,O
ලැබේ,O
හිටපු,O
අමාත්‍ය,O
දුමින්ද,B-PER
දිසානායක,I-PER
මහතා,O
ලබන,O
05,O
වැනිදා,O
දක්වා,O
යළි,O
රක්ෂිත,O
බන්ධනාගාර,O
ගත,O
කෙරුණි,O
ඒ,O
ඔහු,O
අද(29),O
ගල්කිස්ස,B-ORG
මහේස්ත්‍රාත්,I-ORG
අධිකරණයට,I-ORG
ඉදිරිපත්,O
කල,O
අවස්ථාවේදියි,O
වැල්ලවත්ත,B-LOC
මහල්,O
නිවාස,O
සංකීරණයකදී,O
රන්,O
පැහැ,O
ගැල්වූ,O
ටී,O
56,O
ගිනි,O
අවියක්,O
සොයා,O
ගැනීම,O
සමබන්ධයෙන්,O
පසුගිය,O
සිකුරාදා,O
දුමින්ද,B-PER
දිසානායක,I-PER
මහතා,O
අත්අඩංගුවට,O
ගනු,O
ලැබුවේ,O
ත්‍රස්ත,B-ORG
විමර්ශන,I-ORG
කොට්ඨාශය,I-ORG
විසින්,O
ය,O
හිටපු,O
ක්‍රීඩා,O
අමාත්‍ය,O
මහින්දානන්ද,B-PER
අලුත්ගමගේ,I-PER
මහතාට,O
වසර,O
20ක,O
බරපතල,O
වැඩසහිත,O
සිරදඩුවමක්,B-EVENT
සහ,O
හිටපු,O
වෙළද,O
අමාත්‍ය,O
නලීන්,B-PER
ප්‍රනාන්දු,I-PER
මහතාට,O
වසර,O
25ක,O
බරපතල,O
වැඩසහිත,O
සිර,B-EVENT
දඬුවම්,I-EVENT
නියම,O
කෙරුණි,O
ඒ,O
කැරම්,B-EVENT
බෝඩ්,I-EVENT
ගණුදෙණුවට,I-EVENT
අදාළව,O
අල්ලස්,B-ORG
කොමිසම,I-ORG
පවරා,O
ඇති,O
නඩුව,B-EVENT
අද(29),O
කොළඹ,B-ORG
ස්ථිර,I-ORG
ත්‍රිපුද්ගල,I-ORG
මහාධිකරණය,I-ORG
හමුවේ,O
කැඳවු,O
අවස්ථාවේදියි,O
නඩු,B-EVENT
තීන්දුව,I-EVENT
ප්‍රකාශයට,O
පත්,O
කළේ,O
මහේෂ්,B-PER
වීරමන්,I-PER
ප්‍රදීප්,B-PER
අබේරත්න,I-PER
සහ,O
අමාලි,B-PER
රණවීර,I-PER
යන,O
ත්‍රිපුද්ගල,B-ORG
මහාධිකරණ,I-ORG
විනිසුරුමඩුල්ල,I-ORG
විසින්,O
ය,O
වසරේ,O
මේ,O
දක්වා,O
කාලය,O
තුළ,O
මෙරට,B-LOC
මුහුදු,O
සීමාවේ,O
කල,O
මෙහෙයුම්,B-EVENT
වලදී,O
මත්ද්‍රව්‍ය,O
කිලෝග්‍රෑම්,O
1758ක්,O
සොයා,O
ගෙන,O
ඇතැයි,O
පොලිස්,B-ORG
මත්ද්‍රව්‍ය,I-ORG
කාර්යාංශය,I-ORG
පවසයි,O
ඒ,O
අතරට,O
හෙරොයින්,O
කිලෝග්‍රෑම්,O
542ක්,O
සහ,O
අයිස්,O
මත්ද්‍රව්‍ය,O
කිලෝග්‍රෑම්,O
1216ක්,O
ඇතුළත්,O
වේ,O
ඒවායෙහි,O
සමස්ත,O
වටිනාකම,O
රුපියල්,O
බිලියන,O
23ක්,O
ඉක්මවන,O
බව,O
පොලිස්,B-ORG
මත්ද්‍රව්‍ය,I-ORG
කාර්යාංශය,I-ORG
පවසයි,O
බහුදින,O
යාත්‍රා,O
වැටලීම්,B-EVENT
වලින්,O
විශාලතම,O
වැටලීම,B-EVENT
පසුගිය්,O
අප්‍රේල්,O
05,O
වැනිදා,O
සිදුකර,O
ඇති,O
අතර,O
එහිදී,O
අත්අඩංගුවට,O
ගත්,O
මත්ද්‍රව්‍ය,O
ප්‍රමාණය,O
කිලෝග්‍රෑම්,O
862කී,O
හිටපු,O
ජනාධිපති,O
රනිල්,B-PER
වික්‍රමසිංහ,I-PER
මහතාගේ,O
මහජන,O
සම්බන්ධතා,O
අධ්‍යක්ෂ,O
ජනරාල්වරයා,O
වූ,O
තුසිත,B-PER
හල්ඔලුව,I-PER
මහතා,O
ගමන්,O
කළ,O
මෝටර්,O
රථයට,O
වෙඩි,B-EVENT
තැබීමේ,I-EVENT
සිද්ධිය,I-EVENT
සම්බන්ධයෙන්,O
තවත්,O
සැකකරුවන්,O
තුන්,O
දෙනෙකු,O
අත්අඩංගුවට,O
ගෙන,O
තිබේ,O
නීති,O
විරෝධී,O
ලෙස,O
පසුගිය,O
කාලයේ,O
විදේශීය,O
ගමන්,O
බලපත්‍ර,O
නිකුත්කර,O
ඇත්දැයි,O
සෙවීමට,O
විමර්ශනයක්,B-EVENT
ආරම්භ,O
කළ,O
බව,O
මහජන,B-ORG
ආරක්ෂක,I-ORG
අමාත්‍යංශය,I-ORG
පවසයි,O
ජාතික,B-ORG
පොලිස්,I-ORG
කොමිෂන්,I-ORG
සභාවේ,I-ORG
අනුමැතිය,O
පරිදි,O
පහත,O
සඳහන්,O
රාජ්‍ය,O
නිවේදිත,O
නිලධාරීන්,O
වෙත,O
වහාම,O
ක්‍රියාත්මක,O
වන,O
පරිදි,O
ස්ථාන,B-EVENT
මාරුවීම්,I-EVENT
හා,O
පත්,B-EVENT
කිරීම්,I-EVENT
ලබා,O
දී,O
ඇත,O
ඊට,O
අදාල,O
නිවේදනය,O
පහතින්,O
හිටපු,O
අමාත්‍ය,O
මර්වින්,B-PER
සිල්වා,I-PER
සහ,O
හිටපු,O
රාජ්‍ය,O
අමාත්‍ය,O
ප්‍රසන්න,B-PER
රණවීර,I-PER
ලබන,O
26,O
වැනිදා,O
දක්වා,O
යළි,O
රක්ෂිත,O
බන්ධනාගාරගත,O
කිරීමට,O
නියෝග,O
කර,O
තිබේ,O
රජයේ,O
ඉදිකිරීමක්,O
සඳහා,O
පවරා,O
දුන්,O
කිරිබත්ගොඩ,B-LOC
ප්‍රදේශයේ,O
ඉඩමක්,O
පෞද්ගලික,O
ගැණුම්කරුවෙකුට,O
විකිණීමේ,B-EVENT
සිද්ධියක්,I-EVENT
සම්බන්ධයෙන්,O
පොදු,O
දේපොළ,O
පනත,O
යටතේ,O
ගැනෙන,O
වැරදි,O
කළ,O
බවට,O
චෝදනා,O
කරමින්,O
ඔවුන්ට,O
එරෙහිව,O
මෙම,O
නඩුව,B-EVENT
පවරා,O
ඇත,O
එම,O
නඩුව,B-EVENT
ඊයේ(19),O
කැඳවූයේ,O
මහර,B-ORG
මහේස්ත්‍රාත්,I-ORG
අධිකරණයේදී,I-ORG
ය,O
ගල්කිස්ස,B-LOC
වෙරළ,I-LOC
පාරේ,I-LOC
අද(05),O
උදෑසන,O
සිදුවූ,O
වෙඩි,B-EVENT
තැබීමකින්,I-EVENT
තුවාල,O
ලැබූ,O
තරුණයෙක්,O
මියගොස්,O
තිබේ,O
ඒ,O
කළුබෝවිල,B-ORG
ශික්ෂණ,I-ORG
රෝහලට,I-ORG
ඇතුළත්,O
කිරීමෙන්,O
අනතුරුවයි,O
යතුරුපැදියකින්,O
පැමිණි,O
දෙදෙනෙකු,O
මිලිමීටර,O
9,O
වර්ගයේ,O
ගිනි,O
අවියකින්,O
ඔහුට,O
වෙඩි,O
තබා,O
ඇත,O
මියගොස්,O
ඇත්තේ,O
දෙහිවල,B-LOC
පදිංචි,O
19,O
හැවිරිදි,O
තරුණයෙකි,O
දේශපාලන,O
ක්‍රියාකාරී,O
ඩෑන්,B-PER
ප්‍රියසාද්,I-PER
මහතා,O
මියගිය,O
බව,O
පොලීසිය,B-ORG
පවසයි,O
ඒ,O
ඔහු,O
ඉලක්ක,O
කර,O
එල්ලවූ,O
වෙඩි,B-EVENT
තැබීමක්,I-EVENT
හේතුවෙන්,O
රෝහල්ගත,O
කිරීමෙන්,O
අනතුරුවයි,O
පොලීසිය,B-ORG
පැවසුවේ,O
ඔහු,O
කොළොන්නාව,B-LOC
සාලමුල්ල,B-LOC
ප්‍රදේශයේ,O
නිවසක,O
සිටියටදී,O
ඔහු,O
වෙඩි,B-EVENT
ප්‍රහාරයට,I-EVENT
ලක්ව,O
ඇති,O
බවයි,O
යතුරු,O
පැදියකින්,O
පැමිණි,O
දෙදෙනෙකු,O
විසින්,O
මිලිමීටර,O
9,O
වර්ගයේ,O
ගිනි,O
අවියකින්,O
වෙඩි,B-EVENT
තැබීම,I-EVENT
සිදුකර,O
තිබේ,O
තුවාල,O
ලැබූ,O
ඩෑන්,B-PER
ප්‍රියසාද්,I-PER
මහතා,O
කොළඹ,B-ORG
ජාතික,I-ORG
රෝහලට,I-ORG
ඇතුළත්,O
කිරීමෙන්,O
පසුව,O
මිය,O
ගිය,O
බව,O
පොලීසිය,B-ORG
පැවසුවේ,O
ය,O
ඉරාන,B-LOC
අධ්‍යාත්මික,O
නායක,O
අයතුල්ලා,B-PER
අල්,I-PER
කමේනි,I-PER
සම්බන්ධයෙන්,O
අමෙරිකානු,B-LOC
ජනපතිගෙන්,O
X,B-ORG
ගිණුමේ,I-ORG
සටහනක්,O
තබමින්,O
තර්ජනාත්මක,B-EVENT
ප්‍රකාශයක්,I-EVENT
එහි,O
දැක්වෙන්නේ,O
ඉරාන,B-LOC
උත්තරීතර,O
නායක,O
අයතුල්ලා,B-PER
අල්,I-PER
කමේනි,I-PER
සිටින,O
තැන,O
තමන්,O
දන්නා,O
බවත්,O
එම,O
ස්ථානය,O
ඉතා,O
පහසු,O
ඉලක්කයක්,O
බවත්,O
ය,O
කෙසේවෙතත්,O
දැනට,O
ඔහුව,O
ඝාතනය,B-EVENT
කිරිමට,I-EVENT
අපේක්ෂා,O
නොකරන,O
බව,O
ඩොනල්ඩ්,B-PER
ට්‍රම්ප්,I-PER
පවසා,O
තිබෙනවා,O
සිවිල්,O
වැසියන්ට,O
ප්‍රහාර,B-EVENT
එල්ල,I-EVENT
කිරිමට,I-EVENT
අවශ්‍යතාවයක්,O
නැති,O
නමුත්,O
අමෙරිකාවේ,B-LOC
ඉවසීම,O
මේ,O
වනවිට,O
ඉක්මවා,O
යමින්,O
ඇතැයි,O
ඩොනල්ඩ්,B-PER
ට්‍රම්ප්,I-PER
තබා,O
ඇති,O
සටහනේ,O
සඳහන්,O
ඉරානය,B-LOC
ගුවන්,O
අවකාශයේ,O
සම්පූර්ණ,O
පාලනය,O
ද,O
අමෙරිකාව,B-LOC
සතු,O
බව,O
පවසන,O
ඩොනල්ඩ්,B-PER
ට්‍රම්ප්,I-PER
ඉරාන,B-ORG
ගුවන්,I-ORG
හමුදාවට,I-ORG
වඩා,O
සිය,O
ගුවන්,B-ORG
හමුදාව,I-ORG
ශක්තිමත්,O
බව,O
ද,O
පවසා,O
තිබෙනවා,O
සත්කාරක,O
ශ්‍රී,B-LOC
ලංකා,I-LOC
සහ,O
බංග්ලාදේශ,B-LOC
කණ්ඩායම්,O
අතර,O
ටෙස්ට්,B-EVENT
ක්‍රිකට්,I-EVENT
තරගාවලියේ,I-EVENT
පළමු,O
තරගය,B-EVENT
අද,O
ආරම්භ,O
වෙයි,O
තරග,O
දෙකකින්,O
සමන්විත,O
ටෙස්ට්,B-EVENT
ක්‍රිකට්,I-EVENT
තරගාවලියේදී,I-EVENT
ධනංජය,B-PER
ද,I-PER
සිල්වා,I-PER
ශ්‍රී,B-ORG
ලංකා,I-ORG
කණ්ඩායම,I-ORG
මෙහෙයවන,O
අතර,O
පැතුම්,B-PER
නිස්සංක,I-PER
ඕෂද,B-PER
ප්‍රනාන්දු,I-PER
දිනේෂ්,B-PER
චන්දිමාල්,I-PER
ඇන්ජලෝ,B-PER
මැතිව්ස්,I-PER
කුසල්,B-PER
මෙන්ඩිස්,I-PER
කමිදු,B-PER
මෙන්ඩිස්,I-PER
වැනි,O
ක්‍රීඩකයින්,O
සංචිතයට,O
ඇතුළත්,O
ය,O
නවක,O
ක්‍රීඩකයන්,O
වන,O
සොනාල්,B-PER
දිනුෂ,I-PER
පවන්,B-PER
රත්නායක,I-PER
තරිදු,B-PER
රත්නායක,I-PER
පසිදු,B-PER
සුරියබණ්ඩාර,I-PER
ඉසිත,B-PER
විජේසුන්දරද,I-PER
18,O
දෙනෙකුගෙන්,O
සමන්විත,O
ශ්‍රී,B-ORG
ලංකා,I-ORG
සංචිතයේ,I-ORG
සිය,O
ස්ථානය,O
තහවුරු,O
කරගෙන,O
තිබේ,O
ප්‍රවීණ,O
ක්‍රිකට්,O
ක්‍රීඩක,O
