title,category,sub category
ගංවතුර අසාර්ථක වීමෙන් පසු ආපදා කළමනාකරණ ප්රතිපත්ති ප්රතිසංස්කරණය,PoliticsAndGovernance,DomesticPolitics
මාධ්යවේදියාට එරෙහි අපහාස නඩුව කොළඹ අධිකරණය ප්රතික්ෂේප කරයි,PoliticsAndGovernance,DomesticPolitics
ජාතික අධ්යාපන ප්රතිපත්ති කෙටුම්පත මද්රසා ප්රතිසංස්කරණ බැහැර කරයි,PoliticsAndGovernance,DomesticPolitics
ට්රෝලර් බලපත්ර අපකීර්තිය සම්බන්ධයෙන් ධීවර අමාත්යවරයා ඉල්ලා අස්වෙයි,PoliticsAndGovernance,DomesticPolitics
ගම්පහ දිස්ත්රික් සභාව ඉහළ මට්ටමේ ඉදිකිරීම් තහනමක් අනුමත කරයි,PoliticsAndGovernance,DomesticPolitics
දේශපාලන සිරකරුවන්ට ජනාධිපති සමාව දීම කෝපයට හේතු වේ,PoliticsAndGovernance,DomesticPolitics
සීනි ආනයන අපකීර්තිය කමිටුව හිටපු අමාත්යවරුන්  දෙනෙකු කැඳවයි,PoliticsAndGovernance,DomesticPolitics
විපක්ෂ වර්ජනය මධ්යයේ තාක්ෂණික ආරම්භකයින් සඳහා නව බදු සහන සම්මත විය,PoliticsAndGovernance,DomesticPolitics
බෞද්ධ පූජක මණ්ඩලය ලෞකික විෂයමාලා ප්රතිසංස්කරණ ප්රතික්ෂේප කරයි,PoliticsAndGovernance,DomesticPolitics
පොහොර සම්බන්ධයෙන් හම්බන්තොට ගොවීන් අධිවේගී මාර්ගය අවහිර කරයි හිඟයන්,PoliticsAndGovernance,DomesticPolitics
නාගරික සංවර්ධන අරමුදලේ ඩොලර් මිලියන  ක අවභාවිතයක් විගණන වාර්තාවෙන් හෙළි වේ,PoliticsAndGovernance,DomesticPolitics
ස්ත්රී පුරුෂ භාවය පිළිබඳ උදාසීන විකල්ප සඳහා ජාතික හැඳුනුම්පත් ප්රතිපත්තිය සංශෝධනය කරන ලදී,PoliticsAndGovernance,DomesticPolitics
පෙර මැතිවරණ ප්රචණ්ඩත්වය සම්බන්ධයෙන් වවුනියාවේ  දෙනෙකු පොලිසිය අත්අඩංගුවට ගත්තේය,PoliticsAndGovernance,DomesticPolitics
රාජ්ය බැංකු ණය සහන යෝජනා ක්රමය කුඩා ව්යාපාර බැහැර කරයි,PoliticsAndGovernance,DomesticPolitics
යාපනය විශ්ව විද්යාල සිසුන් විශ්ව විද්යාල භූමියේ හමුදා පැවැත්මට විරෝධය පළ කරයි,PoliticsAndGovernance,DomesticPolitics
වනජීවී අමාත්යවරයා වාණිජ මුවන් වගා කිරීම තහනම් කරයි,PoliticsAndGovernance,DomesticPolitics
පවුල් ඉඩම් ගනුදෙනු සඳහා ආචාර ධර්ම පරීක්ෂණයකට මුහුණ දෙන කොළඹ නගරාධිපතිවරයා,PoliticsAndGovernance,DomesticPolitics
ත්රස්ත විරෝධී පනත් කෙටුම්පත මර්දනය සඳහා මෙවලමක් ලෙස විවේචනය කෙරේ,PoliticsAndGovernance,DomesticPolitics
තේ අපනයනකරුවන් වෙළඳ සාකච්ඡා සඳහා නියෝජනයක් ඉල්ලා සිටී,PoliticsAndGovernance,DomesticPolitics
වී අලෙවිකරණ මණ්ඩලය තොග රැස් කිරීම සම්බන්ධයෙන් චෝදනා එල්ල වී ඇත,PoliticsAndGovernance,DomesticPolitics
ඥාති සංග්රහ චෝදනා හේතුවෙන් ජනාධිපති උපදේශක ඉල්ලා අස්වෙයි,PoliticsAndGovernance,DomesticPolitics
ඉඩම් ආරවුල් හේතුවෙන් දක්ෂිණ අධිවේගී මාර්ග පුළුල් කිරීම ප්රමාද විය,PoliticsAndGovernance,DomesticPolitics
නව නීතියෙන් පළාත් පාලන මැතිවරණයේදී  ක කාන්තා අපේක්ෂකයින්ට අවසර ලැබේ,PoliticsAndGovernance,DomesticPolitics
ආර්ථික අවපාත බිය මධ්යයේ ජනාධිපතිවරයා ජාතික ආර්ථික සභාව පිහිටුවයි,PoliticsAndGovernance,DomesticPolitics
දේශපාලන සිරකරුවන් වහාම නිදහස් කරන ලෙස දෙමළ ජාතික සන්ධානය ඉල්ලා සිටී,PoliticsAndGovernance,DomesticPolitics
පූජනීය නගර සංවර්ධන සැලැස්ම උරුම සංරක්ෂණ විවාදයට තුඩු දෙයි,PoliticsAndGovernance,DomesticPolitics
වෙරළබඩ ඛාදනය ප්රතිපත්තිය සංචාරකපාරිසරික ගැටුම අවුලුවයි,PoliticsAndGovernance,DomesticPolitics
සිවිල් සමාජයේ විරෝධතා නොතකා  වන සංශෝධන පනත් කෙටුම්පත අවලංගු කිරීමේ පනත් කෙටුම්පත සභාගත කෙරේ,PoliticsAndGovernance,DomesticPolitics
හම්බන්තොට වැටුප් විෂමතා සම්බන්ධයෙන් චීන  කම්කරු වැඩවර්ජන,PoliticsAndGovernance,DomesticPolitics
මහ බැංකුව  ඩිජිටල් මුදල් නියමු දියත් කරයි,PoliticsAndGovernance,DomesticPolitics
පුරාවිද්යාඥයින් පුරාණ නටබුන් සොයා ගැනීම සම්බන්ධයෙන් අධිවේගී මාර්ග ව්යාපෘතිය නතර කරයි,PoliticsAndGovernance,DomesticPolitics
ඉන්ධන මිල නියාමනය ඉවත් කිරීමට එරෙහිව රට පුරා ප්රවාහන වැඩ වර්ජනයක්,PoliticsAndGovernance,DomesticPolitics
නුවරඑළිය දිස්ත්රික්කයේ තැපැල් ඡන්ද අපකීර්තියක් ඇති වේ,PoliticsAndGovernance,DomesticPolitics
අයිතිවාසිකම් නඩුවේදී ජලය පුද්ගලීකරණය කිරීමට එරෙහිව ශ්රේෂ්ඨාධිකරණ නියෝග,PoliticsAndGovernance,DomesticPolitics
සිංහල ජනාවාස සඳහා ඉඩම් වෙන් කිරීම මුස්ලිම් කවුන්සිලය ප්රතික්ෂේප කරයි,PoliticsAndGovernance,DomesticPolitics
රාජ්යයට අයත් ඛනිජ තෙල් සංස්ථාවේ ඩොලර් මිලියන  ක පාඩුවක් විගණනය හෙළි කරයි,PoliticsAndGovernance,DomesticPolitics
මතභේදාත්මක එක් ජාතියක් එක් විෂයමාලා සැලැස්ම අත්හිටුවා ඇත,PoliticsAndGovernance,DomesticPolitics
කොළඹ පාතාලදේශපාලන නෙක්සස් පිළිබඳ විශේෂ පොලිස් ඒකකයේ විමර්ශන,PoliticsAndGovernance,DomesticPolitics
රාජ්ය තේ වතු පුද්ගලීකරණයට මුහුණ දෙයි කම්කරු විරෝධතා,PoliticsAndGovernance,DomesticPolitics
ජාතික වෛද්ය හිඟයට ආනයන සීමා කිරීම් දොස් පවරයි,PoliticsAndGovernance,DomesticPolitics
පළාත් ආණ්ඩුකාරවරුන් සෘජුවම තෝරා පත් කර ගැනීම සඳහා පනත් කෙටුම්පතක් යෝජනා කරයි,PoliticsAndGovernance,DomesticPolitics
ප්රභූ අල්ලා ගැනීමේ චෝදනාවලින් පසු සූර්ය සහනාධාර කපා හැරීම,PoliticsAndGovernance,DomesticPolitics
එයාර් බස් ගනුදෙනුවේ හිටපු අමාත්යවරයාට අල්ලස් කොමිසම චෝදනා කරයි,PoliticsAndGovernance,DomesticPolitics
භෝග අසාර්ථකත්වයන් මධ්යයේ කාබනික ගොවිතැන සඳහා ලබා දුන් අවසාන දිනය දීර්ඝ කෙරේ,PoliticsAndGovernance,DomesticPolitics
පොලිස් කෲරත්වයට එරෙහිව තීන්දුවක් ලබා දීමෙන් පසු මහේස්ත්රාත්වරයා මාරු කෙරේ,PoliticsAndGovernance,DomesticPolitics
වාර්තාකරුවන්ට පහරදීමෙන් පසු මාධ්යවේදීන්ගේ ආරක්ෂක නීතිය කෙටුම්පත් කෙරේ,PoliticsAndGovernance,DomesticPolitics
බෞද්ධ භික්ෂූන් වහන්සේලා පාසල්වල යෝගා විදේශීය බලපෑම ලෙස විරෝධතා දක්වයි,PoliticsAndGovernance,DomesticPolitics
වෙරළබඩ තොග ආරක්ෂා කිරීම සඳහා බහුදින ට්රෝලර් යාත්රා තහනම දීර්ඝ කෙරේ,PoliticsAndGovernance,DomesticPolitics
රාජ්යය ඌන උපයෝගිතා වතු ඉඩම් නැවත බෙදා හැරීම ආරම්භ කරයි,PoliticsAndGovernance,DomesticPolitics
සමාජ මාධ්ය නියාමන පනත් කෙටුම්පත නිදහස් කථන ගැටළු ඇති කරයි,PoliticsAndGovernance,DomesticPolitics
මාස  ක වැටුප් සහිත පීතෘ නිවාඩු කැබිනට් මණ්ඩලය අනුමත කරයි,PoliticsAndGovernance,DomesticPolitics
මෝසම් සමාලෝචනයේදී අනාවරණය වූ පූර්ව අනතුරු ඇඟවීමේ පද්ධති අසාර්ථකත්වයන්,PoliticsAndGovernance,DomesticPolitics
පොදු ප්රවාහනයට අරමුදල් සැපයීම සඳහා සුඛෝපභෝගී වාහන බද්ද තුන් ගුණයකින් වැඩි කෙරේ,PoliticsAndGovernance,DomesticPolitics
පළාත් සභාවලින්  කින් ස්වාධීන අපේක්ෂකයින්ට තහනම් කෙරේ,PoliticsAndGovernance,DomesticPolitics
යුනෙස්කෝවෙන් පසු සිගිරිය නරඹන්නන්ගේ සීමාව පැනවේ අනතුරු ඇඟවීම,PoliticsAndGovernance,DomesticPolitics
විපක්ෂ වාරණය සම්බන්ධයෙන් රාජ්ය මාධ්ය කතුවරුන් ඉල්ලා අස්වෙයි,PoliticsAndGovernance,DomesticPolitics
පාරිසරික උල්ලංඝනයන් සඳහා කුඩා ජල ව්යාපෘති නතර කර ඇත,PoliticsAndGovernance,DomesticPolitics
ඇඟලුම් සේවකයින්  කර්මාන්තශාලාවල සමාන වැටුප් ඉල්ලා සිටී,PoliticsAndGovernance,DomesticPolitics
කොළඹ හරිත නගර මුලපිරීම ජනාවාස ස්ථානගත කිරීමේ අර්බුදයකට මුහුණ දෙයි,PoliticsAndGovernance,DomesticPolitics
දිවි සංරක්ෂණ ගැටුම් ගම් පුළුල් කිරීමේ සැලසුම් සමඟ,PoliticsAndGovernance,DomesticPolitics
ප්රමාද වූ අධිකරණ පත්වීම් සම්බන්ධයෙන් නීතිඥයින් අධිකරණ වර්ජනය කරයි,PoliticsAndGovernance,DomesticPolitics
විශ්ව විද්යාල ප්රවේශ කෝටා ක්රමය අධිකරණයේදී අභියෝගයට ලක් කෙරේ,PoliticsAndGovernance,DomesticPolitics
උතුරේ හමුදා යෙදවීම  කින් අඩු කර ඇත,PoliticsAndGovernance,DomesticPolitics
ජාතික රක්ෂණ යෝජනා ක්රමය පළමු වරට මානසික සෞඛ්යය ආවරණය කරයි,PoliticsAndGovernance,DomesticPolitics
ඉන්දියානුකළමනාකරණය කරන ලද මාර්ග නවීකරණය සම්බන්ධයෙන් දුම්රිය වෘත්තීය සමිති වැඩ වර්ජනය කරයි,PoliticsAndGovernance,DomesticPolitics
නිවාස  ව්යාපෘතිය සිමෙන්ති කාටෙල් විසින් ප්රමාද කරන ලදී,PoliticsAndGovernance,DomesticPolitics
ක්රිප්ටෝ මුදල් හිමිකාරීත්වය ප්රකාශ කිරීමට පාර්ලිමේන්තු මන්ත්රීවරුන් අවශ්ය වේ,PoliticsAndGovernance,DomesticPolitics
ගොවි සියදිවි නසාගැනීම් වලින් පසු පොල් බද්ද අවලංගු කර ඇත,PoliticsAndGovernance,DomesticPolitics
විගණනයකින් තොරව ක්රියාත්මක වන රාජ්ය ආයතන  ක් කෝප් විසින් හෙළි කරයි,PoliticsAndGovernance,DomesticPolitics
කොළඹ මහ නගර සභාව තනි භාවිත ප්ලාස්ටික් තහනම් කරයි,PoliticsAndGovernance,DomesticPolitics
මන්නාරමේ සමූහ මිනීවළ කැණීම නතර කර ඇත අරමුදල් සැපයීම,PoliticsAndGovernance,DomesticPolitics
ශ්රී ලංකාව  වෙත පිවිසෙන්න ව්යාපාරය යුද්ධයෙන් බලපෑමට ලක් වූ ප්රදේශ අත්හැර දමයි,PoliticsAndGovernance,DomesticPolitics
නව රහස් හෙළි කරන්නා ඒජන්සිය පාර්ලිමේන්තුවට සෘජුවම වාර්තා කරයි,PoliticsAndGovernance,DomesticPolitics
දූෂණ විරෝධී අධිකරණය ඉහළ පැතිකඩ නඩු  ක් කඩිනම් කරයි,PoliticsAndGovernance,DomesticPolitics
මතභේදාත්මක ආගමික පරිවර්තන පනත් කෙටුම්පත ඉල්ලා අස්කර ගනී,PoliticsAndGovernance,DomesticPolitics
ශිෂ්ය විරෝධතා මධ්යයේ රාජ්ය විශ්ව විද්යාල අයවැය කප්පාදුවකට මුහුණ දෙයි,PoliticsAndGovernance,DomesticPolitics
නව ඉඩම් හිමිකම් ක්රමය නැගෙනහිර පළාතේ ව්යාකූලත්වයට හේතු වේ,PoliticsAndGovernance,DomesticPolitics
නීති විරෝධී ට්රෝලින් නොසලකා හැරීම සම්බන්ධයෙන් ධීවර දෙපාර්තමේන්තුවට චෝදනා,PoliticsAndGovernance,DomesticPolitics
 ආචාර ධර්ම පිළිබඳ ජනාධිපති කාර්ය සාධක බලකාය විවේචනයට ලක් වේ,PoliticsAndGovernance,DomesticPolitics
නිවාස දීමනා ප්රමාදයන් සම්බන්ධයෙන් වතු සේවකයින් වැඩ වර්ජනය කරයි,PoliticsAndGovernance,DomesticPolitics
ජාතික පුස්තකාල ලේඛනාගාර ඩිජිටල්කරණ ව්යාපෘතිය ඇණහිට ඇත,PoliticsAndGovernance,DomesticPolitics
භාරකාර මරණයෙන් පසු පොලිස් ශරීර කැමරා අනිවාර්ය වේ,PoliticsAndGovernance,DomesticPolitics
විදේශීය පුරවැසියන් සඳහා දුරස්ථ ඡන්දය ප්රකාශ කිරීම පාර්ලිමේන්තුව අනුමත කරයි,PoliticsAndGovernance,DomesticPolitics
ආහාර සුරක්ෂිතතා අර්බුදය විසඳීම සඳහා ජනාධිපති කාර්ය සාධක බලකායක් ස්ථාපිත කෙරේ,PoliticsAndGovernance,DomesticPolitics
නව ත්රස්ත විරෝධී නීති සම්පාදනයට එරෙහිව විපක්ෂය  පෙත්සමක් ගොනු කරයි,PoliticsAndGovernance,DomesticPolitics
දේශපාලන නොසන්සුන්තාව මධ්යයේ රට පුරා ඇඳිරි නීතිය පනවා ඇත,PoliticsAndGovernance,DomesticPolitics
රාජ්ය බැංකු මිත්ර පාක්ෂිකයින්ට ඩොලර් මිලියන  ක බොල් ණය කපා හැරීම,PoliticsAndGovernance,DomesticPolitics
කොළඹ වරාය නගර බදු නිදහස් කිරීම් මහජන විරෝධයට හේතු වේ,PoliticsAndGovernance,DomesticPolitics
ඉස්ලාමීය බැංකුකරණය ඇතුළත් කිරීමට බෞද්ධ භික්ෂූන් විරෝධතා දක්වයි,PoliticsAndGovernance,DomesticPolitics
ආරක්ෂක ගැටළු උපුටා දක්වමින් පළාත් පාලන මැතිවරණය දින නියමයක් නොමැතිව කල් දමන ලදී,PoliticsAndGovernance,DomesticPolitics
මාර්ග සංවර්ධන අධිකාරියේ ඩොලර් මිලියන  ක වංචාවක් විගණනයෙන් හෙළි වේ,PoliticsAndGovernance,DomesticPolitics
ආයතනික ඉඩම් අත්පත් කර ගැනීමට එරෙහිව කුඩා තේ වතු හිමියන්ගේ රැලිය,PoliticsAndGovernance,DomesticPolitics
පාර්ලිමේන්තුව මතභේදාත්මක දත්ත ප්රාදේශීයකරණ නීතිය සම්මත කරයි,PoliticsAndGovernance,DomesticPolitics
මැතිවරණ ප්රතිසංස්කරණ ඉල්ලා  උපවාසයක් පවත්වයි,PoliticsAndGovernance,DomesticPolitics
ඖෂධ මිල ඉහළ දැමූ බවට චෝදනා එල්ල වන රාජ්ය ඖෂධ සංස්ථාව,PoliticsAndGovernance,DomesticPolitics
පූජනීය බෝධි වෘක්ෂයට හානි කිරීම ආගමික ආතතීන් ඇති කරයි,PoliticsAndGovernance,DomesticPolitics
ඉන්ධන සහනාධාර කප්පාදු කිරීම සම්බන්ධයෙන් ධීවරයින් කොළඹ වරාය අවහිර කරයි,PoliticsAndGovernance,DomesticPolitics
සියලුම සුභසාධන ප්රතිලාභ සඳහා ඩිජිටල් හැඳුනුම්පත් ක්රමය අනිවාර්ය වේ,PoliticsAndGovernance,DomesticPolitics
උතුරු පළාතේ ආණ්ඩුකාරවරයා ලෙස හිටපු හමුදා ප්රධානියා පත් කෙරේ,PoliticsAndGovernance,DomesticPolitics
ජාතික ලොතරැයි පෞද්ගලීකරණ පනත් කෙටුම්පත නීතිමය අභියෝගයකට මුහුණ දෙයි,PoliticsAndGovernance,DomesticPolitics
පර්යේෂණ අරමුදල් කප්පාදුව සම්බන්ධයෙන් විශ්ව විද්යාල කථිකාචාර්යවරු වර්ජනය කරති,PoliticsAndGovernance,DomesticPolitics
රට පුරා මත්ද්රව්ය විරෝධී මෙහෙයුමේදී පොලිසිය  දෙනෙකු අත්අඩංගුවට ගනී,PoliticsAndGovernance,DomesticPolitics
